Level nr;Code;Parent code;Label NL;Label FR;Label DE;Label EN
1;;;Secties;Sections;Abschnitte;Sections
1;A;-;Landbouw, bosbouw en visserij;Agriculture, sylviculture et pêche;Land- und Forstwirtschaft, Fischerei;Agriculture, forestry and fishing
1;B;-;Winning van delfstoffen;Industries extractives;Bergbau und Gewinnung von Steinen und Erden;Mining and quarrying
1;C;-;Industrie;Industrie manufacturière;Verarbeitendes Gewerbe/Herstellung von Waren;Manufacturing
1;D;-;Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Energieversorgung;Electricity, gas, steam and air conditioning supply
1;E;-;"Distributie van water; afval- en afvalwaterbeheer en sanering";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution";"Wasserversorgung; Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzungen";"Water supply; sewerage; waste management and remediation activities"
1;F;-;Bouwnijverheid;Construction;Baugewerbe/Bau;"Construction "
1;G;-;"Groot- en detailhandel; reparatie van auto's en motorfietsen";"Commerce; réparation de véhicules automobiles et de motocycles";"Handel; Instandhaltung und Reparatur von Kraftfahrzeugen";"Wholesale and retail trade; repair of motor vehicles and motorcycles"
1;H;-;Vervoer en opslag;Transports et entreposage;Verkehr und Lagerei;Transportation and storage
1;I;-;Verschaffen van accommodatie en maaltijden;Hébergement et restauration;Gastgewerbe/Beherbergung und Gastronomie;Accommodation and food service activities
1;J;-;Informatie en communicatie;Information et communication;"Information und Kommunikation";Information and communication
1;K;-;Financiële activiteiten en verzekeringen;"Activités financières et d'assurance";Erbringung von Finanz- und Versicherungsdienstleistungen;Financial and insurance activities
1;L;-;Exploitatie van en handel in onroerend goed;Activités immobilières;Grundstÿcks- und Wohnungswesen;Real estate activities
1;M;-;Vrije beroepen en wetenschappelijke en technische activiteiten;Activités spécialisées, scientifiques et techniques;Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;Professional, scientific and technical activities                          
1;N;-;Administratieve en ondersteunende diensten;Activités de services administratifs et de soutien;Erbringung von sonstigen wirtschaftlichen Dienstleistungen;Administrative and support service activities
1;O;-;"Openbaar bestuur en defensie; verplichte sociale verzekeringen";Administration publique;"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";"Public administration and defence; compulsory social security"
1;P;-;Onderwijs;Enseignement;Erziehung und Unterricht;Education
1;Q;-;Menselijke gezondheidszorg en maatschappelijke dienstverlening;Santé humaine et action sociale;Gesundheits- und Sozialwesen;Human health and social work activities
1;R;-;Kunst, amusement en recreatie;Arts, spectacles et activités récréatives;Kunst, Unterhaltung und Erholung;Arts, entertainment and recreation
1;S;-;Overige diensten;Autres activités de services;Erbringung von sonstigen Dienstleistungen;Other service activities
1;T;-;"Huishoudens als werkgever; niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik";"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Private Haushalte mit Hauspersonal; Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte fÿr den Eigenbedarf ohne ausgeprägten Schwerpunkt";"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use"
1;U;-;Extraterritoriale organisaties en lichamen;Activités extra-territoriales;Exterritoriale Organisationen und Körperschaften;Activities of extraterritorial organisations and bodies
2;;;Afdelingen;Divisions;Abteilungen;Divisions
2;01;A;Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten;Culture et production animale, chasse et services annexes;Landwirtschaft, Jagd und damit verbundene Tätigkeiten;Crop and animal production, hunting and related service activities
2;02;A;Bosbouw en de exploitatie van bossen;Sylviculture et exploitation forestière;Forstwirtschaft und Holzeinschlag;Forestry and logging
2;03;A;Visserij en aquacultuur;Pêche et aquaculture;Fischerei und Aquakultur;Fishing and aquaculture
2;05;B;Winning van steenkool en bruinkool;Extraction de houille et de lignite;Kohlenbergbau;Mining of coal and lignite
2;06;B;Winning van aardolie en aardgas;Extraction d'hydrocarbures;Gewinnung von Erdöl und Erdgas;Extraction of crude petroleum and natural gas
2;07;B;Winning van metaalertsen;Extraction de minerais métalliques;Erzbergbau;Mining of metal ores
